SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-14-2022,Single Family Residential,220 NW 41st St,Miami,FL,33127,570000,3,1.0,BAY VISTA PARK,1183,5250,1937,,482,,Sold,,,https://www.redfin.com/FL/Miami/220-NW-41st-St-33127/home/42692296,MARMLS,A11160965,N,Y,25.8138245,-80.2000378
PAST SALE,December-24-2021,Single Family Residential,144 NW 41st St,Miami,FL,33127,545000,2,1.0,PRINCESS PARK,1139,5300,1943,,478,,Sold,,,https://www.redfin.com/FL/Miami/144-NW-41st-St-33127/home/42695147,MARMLS,A11112913,N,Y,25.8138554,-80.1984688
PAST SALE,April-20-2022,Single Family Residential,260 NW 43rd St,Miami,FL,33127,525000,2,1.0,COLUMBIA PARK CORR PL,958,5400,1938,,548,,Sold,,,https://www.redfin.com/FL/Miami/260-NW-43rd-St-33127/home/42683282,MARMLS,A11133771,N,Y,25.8152616,-80.2009967
PAST SALE,,Condo/Co-op,227 NW 39th St #227,Miami,FL,33127,1050000,3,2.0,,1656,,2021,,634,,,,,https://www.redfin.com/FL/Miami/227-NW-39th-St-33127/unit-227/home/167998297,,,N,Y,25.812714,-80.200119
PAST SALE,April-6-2022,Multi-Family (2-4 Unit),4200 NW 1st Ave,Miami,FL,33127,695000,8,4.0,BUENA VISTA HEIGHTS ADDN,1350,,1951,,515,,Sold,,,https://www.redfin.com/FL/Miami/4200-NW-1st-Ave-33127/home/42683858,MARMLS,A11150067,N,Y,25.8152483,-80.1976965
PAST SALE,June-1-2021,Single Family Residential,135 NE 45th St,Miami,FL,33137,822000,4,2.5,SHADOWLAWN,1815,6250,1923,,453,,Sold,,,https://www.redfin.com/FL/Miami/135-NE-45th-St-33137/home/42689468,MARMLS,A10878487,N,Y,25.8172224,-80.1928026
PAST SALE,May-17-2021,Single Family Residential,39 NW 49th St,Miami,FL,33127,370000,4,2.0,PULLMAN PK,1330,5500,1938,,278,,Sold,,,https://www.redfin.com/FL/Miami/39-NW-49th-St-33127/home/42690134,MARMLS,A11010884,N,Y,25.8210471,-80.1965946
PAST SALE,February-22-2022,Single Family Residential,121 NW 46th St,Miami,FL,33127,420000,2,1.0,SHADOWLAWN EXTENSION SUB,824,5000,1949,,510,,Sold,,,https://www.redfin.com/FL/Miami/121-NW-46th-St-33127/home/42690039,MARMLS,A11148875,N,Y,25.8179943,-80.1981201
PAST SALE,January-27-2022,Single Family Residential,269 NW 45th St,Miami,FL,33127,405000,2,1.0,COLUMBIA PARK CORR PL,725,5800,1939,,559,,Sold,,,https://www.redfin.com/FL/Miami/269-NW-45th-St-33127/home/42690739,MARMLS,A11140921,N,Y,25.8170972,-80.2010838
PAST SALE,January-31-2022,Single Family Residential,190 NW 47th St,Miami,FL,33127,536500,3,2.0,SHADOWLAWN EXTENSION SUB,1173,5000,1952,,457,,Sold,,,https://www.redfin.com/FL/Miami/190-NW-47th-St-33127/home/42691009,MARMLS,A11123895,N,Y,25.8182968,-80.1992097
PAST SALE,March-14-2022,Single Family Residential,421 NW 44th St,Miami,FL,33127,649900,3,2.0,COLUMBIA PARK CORR PL,1150,5400,1933,,565,,Sold,,,https://www.redfin.com/FL/Miami/421-NW-44th-St-33127/home/42688764,MARMLS,A11101109,N,Y,25.8163211,-80.2031322
PAST SALE,May-2-2022,Multi-Family (2-4 Unit),270 NW 53rd St,Miami,FL,33127,820000,8,4.0,Railway Shops Addn 2nd Amd,2878,7200,2013,,285,,Sold,,,https://www.redfin.com/FL/Miami/270-NW-53rd-St-33127/home/45070879,Beaches MLS,RX-10785814,N,Y,25.8239304,-80.2013453
PAST SALE,May-13-2021,Multi-Family (2-4 Unit),37 NW 52nd St,Miami,FL,33127,500000,5,4.0,RAILWAY SHOPS ADDN 2ND AM,2456,,1920,,204,,Sold,,,https://www.redfin.com/FL/Miami/37-NW-52nd-St-33127/home/42691501,MARMLS,A10997380,N,Y,25.8235658,-80.1966382
PAST SALE,,Single Family Residential,61 NE 49th St,Miami,FL,33137,770000,2,1.0,,1448,5600,1924,,532,,,,,https://www.redfin.com/FL/Miami/61-NE-49th-St-33137/home/42689271,,,N,Y,25.8207224,-80.1945025
PAST SALE,September-2-2021,Multi-Family (2-4 Unit),171 NW 47th St,Miami,FL,33127,445000,2,1.0,SHADOWLAWN EXTENSION SUB,1540,,1980,,289,,Sold,,,https://www.redfin.com/FL/Miami/171-NW-47th-St-33127/home/42692015,MARMLS,A11021981,N,Y,25.818667,-80.199228
PAST SALE,September-9-2021,Single Family Residential,85 NW 47th St,Miami,FL,33127,545000,3,2.0,SHADOWLAWN EXTENSION SUB,1144,5000,1926,,476,,Sold,,,https://www.redfin.com/FL/Miami/85-NW-47th-St-33127/home/43415972,MARMLS,A11050296,N,Y,25.8187004,-80.197401
PAST SALE,December-27-2021,Single Family Residential,320 NW 44th St,Miami,FL,33127,420000,2,1.0,COLUMBIA PARK CORR PL,810,4900,1949,,519,,Sold,,,https://www.redfin.com/FL/Miami/320-NW-44th-St-33127/home/43414786,MARMLS,A11115260,N,Y,25.8159448,-80.2023042
PAST SALE,,Single Family Residential,322 NW 41st St,Miami,FL,33127,365000,2,1.0,,864,5300,1937,,422,,,,,https://www.redfin.com/FL/Miami/322-NW-41st-St-33127/home/43415743,,,N,Y,25.8137344,-80.2020862
PAST SALE,October-5-2021,Single Family Residential,541 NW 49th St,Miami,FL,33127,401500,2,1.0,BAY VISTA PARK AMD PL,1040,5000,1937,,386,,Sold,,,https://www.redfin.com/FL/Miami/541-NW-49th-St-33127/home/42683737,MARMLS,A11099904,N,Y,25.8207359,-80.2048319
PAST SALE,September-30-2021,Multi-Family (2-4 Unit),332 NW 53rd St,Miami,FL,33127,375000,6,3.0,RAILWAY SHOPS ADDN 2ND AM,2233,,1935,,168,,Sold,,,https://www.redfin.com/FL/Miami/332-NW-53rd-St-33127/home/42689884,MARMLS,A11101975,N,Y,25.8239703,-80.2026092
PAST SALE,,Single Family Residential,547 NW 49th St,Miami,FL,33127,223000,2,1.0,,1078,5000,1939,,207,,,,,https://www.redfin.com/FL/Miami/547-NW-49th-St-33127/home/42690200,,,N,Y,25.8207477,-80.2050062
PAST SALE,,Single Family Residential,44 NW 40th St,Miami,FL,33127,565000,2,1.0,,1733,5000,1958,,326,,,,,https://www.redfin.com/FL/Miami/44-NW-40th-St-33127/home/42690178,,,N,Y,25.8131456,-80.1964012
PAST SALE,,Other,247 NW 45th St,Miami,FL,33127,327000,,,,,5800,,,,,,,,https://www.redfin.com/FL/Miami/247-NW-45th-St-33127/home/42690756,,,N,Y,25.8171105,-80.2006044
PAST SALE,June-29-2021,Multi-Family (2-4 Unit),415 NW 52nd St,Miami,FL,33127,645000,6,4.0,RAILWAY SHOPS ADDN 2ND AM,2383,,2008,,271,,Sold,,,https://www.redfin.com/FL/Miami/415-NW-52nd-St-33127/home/42694323,MARMLS,A11004769,N,Y,25.823492,-80.203206
PAST SALE,,Vacant Land,4021 NW 6th Ave,Miami,FL,33127,140000,,,,,3230,,,,,,,,https://www.redfin.com/FL/Miami/4021-NW-6th-Ave-33127/home/167998427,,,N,Y,25.81357,-80.205038
PAST SALE,,Vacant Land,414 NW 52nd St,Miami,FL,33127,260000,,,,,7200,,,,,,,,https://www.redfin.com/FL/Miami/414-NW-52nd-St-33127/home/167998536,,,N,Y,25.822971,-80.2031889
PAST SALE,,Multi-Family (5+ Unit),169 NE 50th St,Miami,FL,33137,600000,3,1.0,,1377,6800,1925,,436,,,,,https://www.redfin.com/FL/Miami/169-NE-50th-St-33137/home/42689142,,,N,Y,25.8214586,-80.1925411
PAST SALE,August-10-2021,Single Family Residential,76 NW 44th St,Miami,FL,33127,425000,3,2.0,BUENA VISTA HEIGHTS ADDN,1531,7200,1936,,278,,Sold,,,https://www.redfin.com/FL/Miami/76-NW-44th-St-33127/home/42692134,MARMLS,A11041262,N,Y,25.8156983,-80.1970992
PAST SALE,October-8-2021,Single Family Residential,175 NW 44th St,Miami,FL,33127,790000,3,2.0,BUENA VISTA HEIGHTS ADDN,1498,7200,2004,,527,,Sold,,,https://www.redfin.com/FL/Miami/175-NW-44th-St-33127/home/42692840,MARMLS,A11094238,N,Y,25.8161352,-80.1990354
PAST SALE,December-21-2021,Multi-Family (2-4 Unit),25 NW 44th St,Miami,FL,33127,645000,8,6.0,BUENA VISTA HEIGHTS ADDN,1683,,1946,,383,,Sold,,,https://www.redfin.com/FL/Miami/25-NW-44th-St-33127/home/42683126,MARMLS,A11105586,N,Y,25.8162546,-80.1960716
PAST SALE,,Multi-Family (2-4 Unit),4810 N Miami Ave,Miami,FL,33127,535000,4,2.0,,1450,4905,1958,,369,,,,,https://www.redfin.com/FL/Miami/4810-N-Miami-Ave-33127/home/42683676,,,N,Y,25.82029,-80.195993
PAST SALE,August-9-2021,Single Family Residential,82 NW 47th Ter,Miami,FL,33127,904000,5,3.5,SHADOWLAWN EXTENSION SUB,1260,5000,1928,,717,,Sold,,,https://www.redfin.com/FL/Miami/82-NW-47th-Ter-33127/home/42684022,MARMLS,A11043760,N,Y,25.8189992,-80.1974227
PAST SALE,April-15-2022,Single Family Residential,345 NW 45th St,Miami,FL,33127,655000,3,2.0,COLUMBIA PARK CORR PL,1500,5850,2007,,437,,Sold,,,https://www.redfin.com/FL/Miami/345-NW-45th-St-33127/home/42684441,MARMLS,A11162261,N,Y,25.8170574,-80.2025221
PAST SALE,July-23-2021,Single Family Residential,401 NW 40th St,Miami,FL,33127,515000,3,2.0,BAY VISTA PARK,1348,4700,1940,,382,,Sold,,,https://www.redfin.com/FL/Miami/401-NW-40th-St-33127/home/42688287,MARMLS,A11034708,N,Y,25.8133699,-80.2027836
PAST SALE,October-15-2021,Single Family Residential,21 NE 50th Ter,Miami,FL,33137,1240000,3,3.0,ALTA VISTA,2281,8525,1926,,544,,Sold,,,https://www.redfin.com/FL/Miami/21-NE-50th-Ter-33137/home/42688617,MARMLS,A11092602,N,Y,25.8222452,-80.1953742
PAST SALE,,Single Family Residential,501 NW 46th St,Miami,FL,33127,466000,3,1.0,,1602,5006,1939,,291,,,,,https://www.redfin.com/FL/Miami/501-NW-46th-St-33127/home/42689282,,,N,Y,25.8178409,-80.2039603
PAST SALE,February-28-2022,Single Family Residential,235 NW 45th St,Miami,FL,33127,660000,3,2.0,COLUMBIA PARK CORR PL,1118,5800,1947,,590,,Sold,,,https://www.redfin.com/FL/Miami/235-NW-45th-St-33127/home/42689780,MARMLS,A11122421,N,Y,25.8171474,-80.2004737
PAST SALE,September-10-2021,Single Family Residential,111 NW 46 St,Miami,FL,33127,400000,3,1.0,Shadowlawn Ext,1599,5000,1926,,250,,Sold,,,https://www.redfin.com/FL/Miami/111-NW-46th-St-33127/home/42690011,Beaches MLS,F10294888,N,Y,25.8179825,-80.1979458
PAST SALE,April-7-2022,Multi-Family (2-4 Unit),509 NW 41st St,Miami,FL,33127,630000,9,4.0,BAY VISTA PARK AMD PL,2176,,1925,,290,,Sold,,,https://www.redfin.com/FL/Miami/509-NW-41st-St-33127/home/42690447,MARMLS,A11142021,N,Y,25.814087,-80.2039167
PAST SALE,January-7-2022,Single Family Residential,44 NE 45th St,Miami,FL,33137,850000,3,2.0,BILTMORE SUB,2001,7875,1926,,425,,Sold,,,https://www.redfin.com/FL/Miami/44-NE-45th-St-33137/home/42690713,MARMLS,A11127423,N,Y,25.8167548,-80.1946768
PAST SALE,,Single Family Residential,28 NE 45th St,Miami,FL,33137,650000,2,1.0,,1207,5250,1938,,539,,,,,https://www.redfin.com/FL/Miami/28-NE-45th-St-33137/home/42690728,,,N,Y,25.8167725,-80.1949383
PAST SALE,January-22-2022,Multi-Family (2-4 Unit),173 NW 52nd St,Miami,FL,33127,650000,5,3.0,RAILWAY SHOPS ADDN 2ND AM,2546,,1987,,255,,Sold,,,https://www.redfin.com/FL/Miami/173-NW-52nd-St-33127/home/42691008,MARMLS,A11133832,N,Y,25.8234715,-80.1993479
PAST SALE,January-5-2022,Multi-Family (2-4 Unit),564 NW 51st St,Miami,FL,33127,690000,12,6.0,RAILWAY SHOPS ADDN 2ND AM,2768,,1920,,249,,Sold,,,https://www.redfin.com/FL/Miami/564-NW-51st-St-33127/home/42691185,MARMLS,A11129511,N,Y,25.8220402,-80.2051806
PAST SALE,September-13-2021,Single Family Residential,529 NW 42nd St,Miami,FL,33127,485000,3,2.0,BAY VISTA PARK AMD PL,1506,5000,1938,,322,,Sold,,,https://www.redfin.com/FL/Miami/529-NW-42nd-St-33127/home/42691911,MARMLS,A11019542,N,Y,25.8148425,-80.2042654
PAST SALE,December-22-2021,Single Family Residential,145 NE 46th St,Miami,FL,33137,1300000,3,3.5,SHADOWLAWN,1861,5750,1923,,699,,Sold,,,https://www.redfin.com/FL/Miami/145-NE-46th-St-33137/home/42692416,MARMLS,A11121477,N,Y,25.8180398,-80.1927154
PAST SALE,October-15-2021,Single Family Residential,64 NW 52nd St,Miami,FL,33127,400000,2,1.0,RAILWAY SHOPS ADDN 2ND AM,1601,7200,1946,,250,,Sold,,,https://www.redfin.com/FL/Miami/64-NW-52nd-St-33127/home/42692547,MARMLS,A11010229,N,Y,25.8231866,-80.1971176
PAST SALE,,Single Family Residential,570 NW 48th St,Miami,FL,33127,233000,2,1.0,,1026,5000,1924,,227,,,,,https://www.redfin.com/FL/Miami/570-NW-48th-St-33127/home/42692809,,,N,Y,25.8196189,-80.2052242
PAST SALE,,Single Family Residential,5130 NW 5 Ave,Miami,FL,33127,1100000,,,,,6514,,,,,,,,https://www.redfin.com/FL/Miami/5130-NW-5-Ave-33127/home/42692794,,,N,Y,25.8228046,-80.2043089
PAST SALE,September-15-2021,Multi-Family (2-4 Unit),5091 NW 2nd Ave,Miami,FL,33127,521000,,15277.0,RAILWAY SHOPS ADDN 2ND AM,1697,,1970,,307,,Sold,,,https://www.redfin.com/FL/Miami/5091-NW-2nd-Ave-33127/home/45430992,MARMLS,A11069481,N,Y,25.8220506,-80.1997333
PAST SALE,July-28-2021,Vacant Land,118 NW 45th St,Miami,FL,33127,340668,,,BUENA VISTA HEIGHTS ADDN,,7200,,,,,Sold,,,https://www.redfin.com/FL/Miami/118-NW-45th-St-33127/home/103689314,MARMLS,A11037698,N,Y,25.8165538,-80.1979567
PAST SALE,March-31-2022,Single Family Residential,430 NW 44th St,Miami,FL,33127,560000,3,2.0,COLUMBIA PARK CORR PL,1371,4900,1968,,408,,Sold,,,https://www.redfin.com/FL/Miami/430-NW-44th-St-33127/home/42688775,MARMLS,A11148185,N,Y,25.815961,-80.2032194
PAST SALE,November-30-2021,Single Family Residential,54 NW 52nd St,Miami,FL,33127,930000,3,2.5,RAILWAY SHOPS ADDN 2ND AM,1723,3600,2021,,540,,Sold,,,https://www.redfin.com/FL/Miami/54-NW-52nd-St-33127/unit-54/home/167998470,MARMLS,A11115693,N,Y,25.823122,-80.196937
PAST SALE,November-1-2021,Multi-Family (2-4 Unit),2-4 NW 47th St,Miami,FL,33127,610000,6,3.0,BUENA VISTA HEIGHTS ADDN,2010,,1951,,303,,Sold,,,https://www.redfin.com/FL/Miami/2-NW-47th-St-33127/home/173272599,MARMLS,A10930070,N,Y,25.8184771,-80.1958004
PAST SALE,April-21-2022,Single Family Residential,161 NW 40th St,Miami,FL,33127,570000,4,2.0,Princess Park,1434,5000,1949,,397,,Sold,,,https://www.redfin.com/FL/Miami/161-NW-40th-St-33127/home/42691671,Beaches MLS,F10315781,N,Y,25.8135072,-80.1987303
PAST SALE,April-4-2022,Single Family Residential,133 NW 41st St,Miami,FL,33127,659000,2,1.5,Princess Park,1404,7200,1924,,469,,Sold,,,https://www.redfin.com/FL/Miami/133-NW-41st-St-33127/home/42690800,MARMLS,A11169581,N,Y,25.8142553,-80.1982944
PAST SALE,,Single Family Residential,340 NW 43rd St,Miami,FL,33127,250000,2,1.0,,672,5400,1936,,372,,,,,https://www.redfin.com/FL/Miami/340-NW-43rd-St-33127/home/42684117,,,N,Y,25.8152498,-80.2021734
PAST SALE,February-28-2022,Single Family Residential,251 NE 45th St,Miami,FL,33137,800000,2,2.0,BRENTWOOD,1855,7475,1950,,431,,Sold,,,https://www.redfin.com/FL/Miami/251-NE-45th-St-33137/home/42726588,MARMLS,A11109130,N,Y,25.8173314,-80.1903616
PAST SALE,October-15-2021,Single Family Residential,243 NW 42nd St,Miami,FL,33127,575000,3,2.0,COLUMBIA PARK CORR PL,1432,10800,1924,,402,,Sold,,,https://www.redfin.com/FL/Miami/243-NW-42nd-St-33127/home/42690315,MARMLS,A11088669,N,Y,25.8149547,-80.2005172
PAST SALE,February-24-2022,Single Family Residential,291 NE 47th St,Miami,FL,33137,945000,3,2.0,BRENTWOOD,1822,7720,1951,,519,,Sold,,,https://www.redfin.com/FL/Miami/291-NE-47th-St-33137/home/42726574,MARMLS,A11077501,N,Y,25.8188305,-80.1895334
PAST SALE,May-5-2022,Single Family Residential,121 NE 45th St,Miami,FL,33137,2000000,4,3.0,SHADOWLAWN,2400,6250,1923,,833,,Sold,,,https://www.redfin.com/FL/Miami/121-NE-45th-St-33137/home/42691923,MARMLS,A11185166,N,Y,25.8171973,-80.1931077
PAST SALE,,Vacant Land,269 NW 51st St #269,Miami,FL,33127,975000,,,,,7200,,,,,,,,https://www.redfin.com/FL/Miami/269-NW-51st-St-33127/unit-269/home/160359515,,,N,Y,25.8225338,-80.2013235
PAST SALE,March-4-2022,Single Family Residential,211 NE 43rd St,Miami,FL,33137,800000,3,2.0,BRENTWOOD REV PL,1671,7475,1945,,479,,Sold,,,https://www.redfin.com/FL/Miami/211-NE-43rd-St-33137/home/42724916,MARMLS,A11126588,N,Y,25.8157778,-80.1910591
PAST SALE,,Single Family Residential,5116 NW 3rd Ave,Miami,FL,33127,317000,2,1.0,,1048,5123,1926,,302,,,,,https://www.redfin.com/FL/Miami/5116-NW-3rd-Ave-33127/home/42683315,,,N,Y,25.8227485,-80.2021298
PAST SALE,August-13-2021,Single Family Residential,4605 NW 5th Ave,Miami,FL,33127,312000,3,1.0,BUENA VISTA HEIGHTS EXTEN,1238,6268,1940,,252,,Sold,,,https://www.redfin.com/FL/Miami/4605-NW-5-Ave-33127/home/42683438,MARMLS,A11017719,N,Y,25.8180858,-80.2035245
PAST SALE,,Single Family Residential,551 NW 46th St,Miami,FL,33127,380000,5,3.0,,1321,5000,1939,,288,,,,,https://www.redfin.com/FL/Miami/551-NW-46th-St-33127/home/42684286,,,N,Y,25.8178449,-80.204689
PAST SALE,,Multi-Family (2-4 Unit),534 NW 43rd St,Miami,FL,33127,825000,3,2.0,,1325,5000,1938,,623,,,,,https://www.redfin.com/FL/Miami/534-NW-43rd-St-33127/home/42684418,,,N,Y,25.8152005,-80.2044586
PAST SALE,,Single Family Residential,4921 NW 6th Ave,Miami,FL,33127,550000,2,1.0,,1267,5603,1942,,434,,,,,https://www.redfin.com/FL/Miami/4921-NW-6th-Ave-33127/home/42687734,,,N,Y,25.8211343,-80.2057078
PAST SALE,,Single Family Residential,421 NW 50th St,Miami,FL,33127,340000,3,2.0,,1476,6970,1930,,230,,,,,https://www.redfin.com/FL/Miami/421-NW-50th-St-33127/home/42689688,,,N,Y,25.8216507,-80.2034809
PAST SALE,October-29-2021,Vacant Land,4727 NW 6th Ave,Miami,FL,33127,160000,,,BAY VISTA PARK AMD PL,,5200,,,,,Sold,,,https://www.redfin.com/FL/Miami/4727-NW-6th-Ave-33127/home/42689785,MARMLS,A11056897,N,Y,25.8188649,-80.2055728
PAST SALE,November-17-2021,Single Family Residential,520 NW 45th St,Miami,FL,33127,399000,3,1.0,BAY VISTA PARK AMD PL,1321,7500,1939,,302,,Sold,,,https://www.redfin.com/FL/Miami/520-NW-45th-St-33127/home/42690419,MARMLS,A11103038,N,Y,25.8166235,-80.2042218
PAST SALE,,Single Family Residential,585 NW 51st St,Miami,FL,33127,223000,2,1.0,,774,7200,1940,,288,,,,,https://www.redfin.com/FL/Miami/585-NW-51st-St-33127/home/42691329,,,N,Y,25.8223958,-80.2057035
PAST SALE,,Single Family Residential,321 NW 51st St,Miami,FL,33127,265000,4,2.0,,1521,7200,1971,,174,,,,,https://www.redfin.com/FL/Miami/321-NW-51st-St-33127/home/42691840,,,N,Y,25.8225036,-80.2025657
PAST SALE,,Single Family Residential,4024 NW 5 Ave,Miami,FL,33127,550000,2,1.0,,1090,5350,1939,,505,,,,,https://www.redfin.com/FL/Miami/4024-NW-5-Ave-33127/home/42691940,,,N,Y,25.813578,-80.2038295
PAST SALE,October-12-2021,Single Family Residential,568 NW 50th St,Miami,FL,33127,590000,3,2.0,BAY VISTA PARK AMD PL,1574,5300,1926,,375,,Sold,,,https://www.redfin.com/FL/Miami/568-NW-50th-St-33127/home/43408190,MARMLS,A10980830,N,Y,25.8210885,-80.2053113
PAST SALE,,Other,408 NW 52nd St,Miami,FL,33127,260000,,,,,7200,,,,,,,,https://www.redfin.com/FL/Miami/408-NW-52nd-St-33127/home/167998537,,,N,Y,25.8229532,-80.2029607
PAST SALE,August-31-2021,Single Family Residential,121 NW 41st St,Miami,FL,33127,459000,3,1.0,BUENA VISTA HEIGHTS ADDN,1584,7200,1920,,290,,Sold,,,https://www.redfin.com/FL/Miami/121-NW-41st-St-33127/home/42689367,MARMLS,A11094391,N,Y,25.8142804,-80.1979894
PAST SALE,June-11-2021,Single Family Residential,18 NE 42nd St,Miami,FL,33137,950000,6,3.0,BILTMORE SUB,2360,5000,1924,,403,,Sold,,,https://www.redfin.com/FL/Miami/18-NE-42nd-St-33137/home/42689544,MARMLS,A10862977,N,Y,25.8146285,-80.1950255
PAST SALE,November-3-2021,Single Family Residential,100 NE 49th St,Miami,FL,33137,495000,3,1.0,BELLAIRE SUB,1350,7260,1939,,367,,Sold,,,https://www.redfin.com/FL/Miami/100-NE-49th-St-33137/home/42689725,MARMLS,A11095464,N,Y,25.8203004,-80.1936743
PAST SALE,October-7-2021,Single Family Residential,93 NW 49th St,Miami,FL,33127,405000,3,1.0,PULLMAN PK,1311,5500,1938,,309,,Sold,,,https://www.redfin.com/FL/Miami/93-NW-49th-St-33127/home/42689652,MARMLS,A11085133,N,Y,25.8209719,-80.1975099
PAST SALE,,Multi-Family (2-4 Unit),164 NW 52nd St,Miami,FL,33127,342500,2,1.0,,1110,7200,1937,,309,,,,,https://www.redfin.com/FL/Miami/164-NW-52nd-St-33127/home/42690054,,,N,Y,25.8231219,-80.1989998
PAST SALE,September-21-2021,Single Family Residential,168 NE 46th St,Miami,FL,33137,1225000,3,3.0,Shadowlawn,1863,6250,1934,,658,,Sold,,,https://www.redfin.com/FL/Miami/168-NE-46th-St-33137/home/42690440,Beaches MLS,RX-10739943,N,Y,25.8176414,-80.1922359
PAST SALE,September-13-2021,Single Family Residential,4300 NE 1st Ave,Miami,FL,33137,1650000,3,3.0,BILTMORE SUB,3695,10500,1928,,447,,Sold,,,https://www.redfin.com/FL/Miami/4300-NE-1st-Ave-33137/home/42690499,MARMLS,A11067161,N,Y,25.8158207,-80.1937179
PAST SALE,,Single Family Residential,52 NE 51st St,Miami,FL,33137,310000,2,1.0,,1188,5500,1938,,261,,,,,https://www.redfin.com/FL/Miami/52-NE-51st-St-33137/home/42691100,,,N,Y,25.8225668,-80.1947204
PAST SALE,July-16-2021,Single Family Residential,130 NE 45th St,Miami,FL,33137,1000000,4,3.5,BILTMORE SUB,2505,7875,1926,,399,,Sold,,,https://www.redfin.com/FL/Miami/130-NE-45th-St-33137/home/42691249,MARMLS,A10926841,N,Y,25.8168137,-80.1928462
PAST SALE,August-19-2021,Single Family Residential,221 NE 44th St,Miami,FL,33137,830000,3,3.0,BRENTWOOD,1572,7475,1947,,528,,Sold,,,https://www.redfin.com/FL/Miami/221-NE-44th-St-33137/home/42721096,MARMLS,A11051223,N,Y,25.8165251,-80.1909501
PAST SALE,,Single Family Residential,211 NE 46th St,Miami,FL,33137,815000,4,3.0,,1429,7000,1940,,570,,,,,https://www.redfin.com/FL/Miami/211-NE-46th-St-33137/home/42730089,,,N,Y,25.8181135,-80.1911026
PAST SALE,July-30-2021,Single Family Residential,168 NE 47th St,Miami,FL,33137,800000,4,3.0,SHADOWLAWN,1910,5100,1925,,419,,Sold,,,https://www.redfin.com/FL/Miami/168-NE-47th-St-33137/home/42684437,MARMLS,A11016375,N,Y,25.818422,-80.1922795
PAST SALE,June-24-2021,Single Family Residential,401 NW 52nd St,Miami,FL,33127,300000,2,1.0,RAILWAY SHOPS ADDN 2ND AM,910,7200,1956,,330,,Sold,,,https://www.redfin.com/FL/Miami/401-NW-52nd-St-33127/home/42689877,MARMLS,A11033237,N,Y,25.8233963,-80.2029143
PAST SALE,September-30-2021,Single Family Residential,238 NW 48th St,Miami,FL,33127,788500,5,4.0,BUENA VISTA HEIGHTS EXTEN,,7150,2020,,,,Sold,,,https://www.redfin.com/FL/Miami/238-NW-48th-St-33127/home/42691971,MARMLS,A10965562,N,Y,25.8193024,-80.2008877
PAST SALE,,Single Family Residential,258 NW 41st St,Miami,FL,33127,370000,2,1.0,,1353,5250,1937,,273,,,,,https://www.redfin.com/FL/Miami/258-NW-41st-St-33127/home/43409741,,,N,Y,25.8137831,-80.2007787
PAST SALE,May-17-2021,Single Family Residential,574 NW 51st St,Miami,FL,33127,555574,3,3.0,RAILWAY SHOPS ADDN 2ND AM,2064,7200,1928,,269,,Sold,,,https://www.redfin.com/FL/Miami/574-NW-51st-St-33127/home/42691672,MARMLS,A11003630,N,Y,25.8219724,-80.2055292
PAST SALE,,Single Family Residential,224 NW 40th St,Miami,FL,33127,515000,4,1.0,,1140,5000,1938,,452,,,,,https://www.redfin.com/FL/Miami/224-NW-40th-St-33127/home/42688471,,,N,Y,25.8130439,-80.1999942
PAST SALE,,Single Family Residential,4520 NW 3rd Ave,Miami,FL,33127,420000,3,1.0,,1096,5916,1939,,383,,,,,https://www.redfin.com/FL/Miami/4520-NW-3rd-Ave-33127/home/42683430,,,N,Y,25.817385,-80.2019555